BodyName,Ad,Ag,Al,Ar,Au,Be,C6Hn,Cl,Co,Cs,Cu,Dy,Eu,F,Fe,H2O,He-3,Hg,HnCn,Ie,IL,Ir,Li,Nd,Ne,Ni,Pb,Pd,Pt,Pu,R-COC,Rc,Sb,SiH3Cl,Ta,Ti,Tsn,U,V,Vr,Vy,W,Xe,xF4,Yb
Altair III,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Altair III-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altair III-b,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Altair III-c,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altair IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altair IV-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
Altair IV-b,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,X,,
Altair IV-c,,,,,,,,X,X,,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,X,,,
Altair IV-d,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Altair V,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altair V-a,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Andromas I,,,,,,,,X,,,,,,,X,X,,,,,,X,,,,X,,,,,,,,,,,,X,X,,,,X,,
Andromas II,,,,X,,,,X,,,,,,X,,X,,,,,,,X,,,X,,,,,X,,,X,,,,,,,,,,,
Andromas III,,,X,X,,X,,,,,,,X,,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Andromas IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andromas IV-a,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andromas V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andromas V-a,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andromas V-b,,X,,,,,,,,,X,,,X,X,X,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,
Andromas VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andromas VI-a,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andromas VI-b,,,X,,,X,,,,,X,,,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Aranae I,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aranae II,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aranae II-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aranae II-b,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aranae III,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aranae IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aranae IV-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Aranae IV-b,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Aranae IV-c,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aranae IV-d,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aranae V,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Arcturus I,,,,,,,,,,,,,,,,,X,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,
Arcturus II,,,,X,,,X,X,,,,,,,X,X,,,X,,,X,,,,,,,,,,,,,,,,X,,,,,,,
Arcturus III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcturus III-a,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muphrid I,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,
Muphrid I-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muphrid II,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Muphrid II-a,,,X,,,X,,,,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Muphrid III,,,,,,,,,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,,X,X,,,,,,
Muphrid III-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
Muphrid III-b,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muphrid III-c,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muphrid IV,,,X,X,,,,X,,,,,,,X,X,,,X,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Muphrid V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muphrid V-a,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Muphrid V-b,,,,,,,,X,,,X,,,X,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,X,X,,
Muphrid V-c,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Muphrid V-d,,,X,X,,,X,X,X,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Muphrid VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muphrid VI-a,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muphrid VI-b,,,,,,,,X,,,,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Muphrid VI-c,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muphrid VI-d,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Muphrid VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muphrid VII-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Muphrid VII-b,,,,,,,,,X,,X,,,X,X,X,,,,,,,,,,X,,,,,,,X,,,,,X,,,,,,,
Muphrid VII-c,,,,,,,,,,,X,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Muphrid VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muphrid VIII-a,,X,,,,,,,,,,,,,,X,,,,,,,,,,X,X,,X,,,,,,,,,X,X,,,,,,
Muphrid VIII-b,,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Muphrid VIII-c,,,,,,,,,X,,X,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,X,,,
Muphrid VIII-d,,,,,,,,,X,,,,,,X,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Sagan I,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Bonner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mir II,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Andraste I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Andraste I-a,,,,,,,,,,,X,,,X,,X,X,,,,,X,,,,X,,,,,,,,,,,,X,X,,,,,,
Beta Andraste I-b,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Andraste I-c,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Beta Andraste I-d,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradbury I,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X
Bradbury I-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradbury I-b,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradbury II,,,,,,,,,,,,,,,X,,,,X,,,X,,,,,X,,,,,,,,X,,,X,,,,X,,,X
Bradbury III,,,,,,,,X,X,,,,,,,X,,,,,,,,,,X,X,,,,,,,X,,X,,X,,,,,,,
Bradbury IV,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Bradbury IV-a,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradbury V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradbury V-a,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Eridani I,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Eridani II,,,,,X,,,X,X,,X,,,X,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Eridani III,,,,X,,,,,,,,,,,,X,,,,,,X,,,,,,,,X,,,,,,,,X,X,,,,,,
Eridani III-a,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Eridani III-b,,,,,,,,X,,,,,,,X,X,X,,,,,X,,,,X,,,,,,,,,,,,X,X,,,,,,
Eridani III-c,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eridani IV,,,,X,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eridani IV-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eridani IV-b,,,X,,,X,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Eridani IV-c,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eridani V,,X,,,,,,X,,,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Eridani VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eridani VI-a,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Eridani VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eridani VII-a,,,,X,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Eridani VII-b,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eridani VII-c,,,X,,,,,,,,,,X,,,X,X,,,,,,,,,,X,,,,,,,,,X,,X,,,,X,,,
Eridani VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eridani VIII-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eridani VIII-b,,X,X,,,X,,,X,,,,,,,X,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Eridani VIII-c,,,,,,,,X,,X,,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Eridani VIII-d,,,,,,,,X,X,,,,,,X,X,,,X,,,,X,,,X,,,,,,,,,,,,X,,,,,,,
Eridani IX,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Guniibuu I,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guniibuu I-a,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Guniibuu I-b,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Guniibuu II,,,X,,X,X,,X,,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guniibuu III,,,,X,,,X,,,,,,,,,X,,,,,,X,,,,,X,,,,X,,,,,,,X,X,,,,,,
Guniibuu III-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guniibuu III-b,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guniibuu III-c,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guniibuu IV,,,,,,,,,,,X,,,,X,X,,,X,,,X,,,,,,,,,,,,,X,,,X,,,,,,,
Guniibuu IV-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guniibuu IV-b,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Guniibuu V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guniibuu V-a,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guniibuu V-b,,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Guniibuu V-c,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,
Guniibuu V-d,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guniibuu V-e,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guniibuu VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guniibuu VI-a,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Guniibuu VI-b,,,,,,,,,X,,,,,,,X,,X,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,
Guniibuu VI-c,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Guniibuu VI-d,,,,,,,,,,,,,,,,X,,,X,,,,,,,,X,,,,,,,,,X,,,,,,,,,
Guniibuu VI-e,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,X,,,
Guniibuu VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guniibuu VII-a,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guniibuu VII-b,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Guniibuu VII-c,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indum I,,,,,,,,X,,,,,,,X,X,,,X,,,X,,,,,,,,,,,,,X,,,X,,,,,,,
Indum I-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indum II,,,X,X,,X,X,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Indum III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indum III-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Indum III-b,,,,,,,,,X,,X,,,,X,X,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,X,X
Indum III-c,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indum III-d,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indum IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indum IV-a,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,
Indum IV-b,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Indum IV-c,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Indum IV-d,,,,,X,,,X,,,X,,,X,X,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,
Indum V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indum V-a,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X
Suvorov,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neebas,,,,,X,,,,X,,X,,,,X,X,,,,,,,,,,X,,,,X,,,,,,,,X,,,,,,,
Max,,,,,,,,X,,,,,,,,X,,,,,,,X,,,X,X,,,,,,,X,,,,X,,,,,,,
Rocklock,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candore,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Nox,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boron,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McClure I,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
McClure I-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McClure II,,,,,,,,X,,,X,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
McClure II-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McClure II-b,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
McClure II-c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McClure III,,,,,,,,X,X,,X,,,,X,X,,,X,,,,,,,X,,,,,,,,,X,,,,,,,,,,
Oborum I,,,,,X,,,X,,,X,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Oborum II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oborum II-a,,X,,,,,,X,,,,,,,X,X,,,,,,,,,,X,X,,X,,,,,,X,,,,,,,,,,
Oborum II-b,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oborum III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oborum III-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oborum III-b,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Oborum III-c,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oborum III-d,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
Oborum IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ursa Minor I,,,,,,,,,X,,X,,,X,,,,,,,,X,,,,X,,,,,,,,,,,,X,,,,,,,
Ursa Minor I-a,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ursa Minor I-b,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ursa Minor II,,,,X,,,,,,,X,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,
Ursa Minor II-a,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ursa Minor III,,,,,,,,X,,,X,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Curie,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnar,,X,X,X,,X,,,X,,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Arachna,,,,,,,,X,,,,X,,,,X,,,,,,,,,,,X,,,,,,,X,,,,X,,,,X,,,
Worthless,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitsy,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Itsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nascent,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudiment,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamow,,,,,,,,X,X,,,,,,X,X,,,X,,,,X,,,X,,,,,,,,X,,,,,,,,,,,
Bose,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bode,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Herald,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augur,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
Faraday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coulomb,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampere,,X,,,,,,,,,,,,,X,X,,,X,,,X,,,,,X,,,,,,,,,,,X,X,,,,,,
Volt,,,,,,,,,,,X,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,X
Ohm,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge I,,,X,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,
Groombridge II,,,,,,,,,,,X,,,,X,X,,,X,,,,,,,,X,,,,,,,,,,,,,,,X,,,
Groombridge II-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge II-b,,,,,,,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,
Groombridge II-c,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Groombridge III,,X,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,
Groombridge III-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge IV,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge IV-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge V-a,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge V-b,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge V-c,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge V-d,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge V-e,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge VI-a,,,X,,,,,,,,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge VI-b,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Groombridge VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge VII-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge VII-b,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,
Groombridge VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groombridge VIII-a,,,,X,,,X,X,,,,,,,,X,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,
Groombridge VIII-b,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Groombridge VIII-c,,,X,,,X,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Groombridge VIII-d,,,,X,,,,X,,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,X,,,,,,,
Kumasi I,,,,X,,,,X,,,,,,,,X,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
Kumasi I-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Kumasi II,,,,,,,,,X,,,,,,,X,,,,,,X,,,,X,,X,X,X,,,,,,,,X,,,,,,,
Kumasi II-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumasi III,,,,X,,,,X,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Kumasi III-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumasi IV,,,,,,,,,X,,X,X,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Kumasi IV-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumasi V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumasi V-a,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumasi V-b,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumasi V-c,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Kumasi V-d,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Kumasi V-e,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Kumasi VI,,,,,,,,X,,X,,,,,X,X,,,X,,,X,,,,,,,,,,,,,,,,X,,,,,,,
Kumasi VI-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumasi VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumasi VII-a,,,X,,,,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Kumasi VII-b,,,,,,,,,,,X,,,X,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,
Kumasi VII-c,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumasi VII-d,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumasi VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
